filename,has_mite
2017-08-28_16-32-55_30_sec-mp4-bee_id_6686-900-1_png.rf.2f7d5fa0ee03866efc871fc3a61e3334.jpg,TRUE
2017-08-30_15-42-59-mp4-bee_id_9232-4830-1_png.rf.baf705c194375a063a90c4a2ffc10254.jpg,FALSE
2017-10-17_16-41-10-mp4-bee_id_6940-2115-1_png.rf.bbda5e7de32c0b81e876e412de862f78.jpg,FALSE
2017-10-17_1-39-36-mp4-bee_id_3468-105-1_png.rf.42dff934581e3b8b9e329479860fc956.jpg,FALSE
2017-08-30_15-42-59-mp4-bee_id_9226-4545-1_png.rf.f1bc72ebd3f2f062eafaf81c599f1516.jpg,FALSE
2017-09-25_16-03-38-mp4-bee_id_231-45-1_png.rf.2ea73a9c21c86853020aca7d8022316a.jpg,FALSE
2017-08-30_15-42-59-mp4-bee_id_9261-6090-1_png.rf.fd905e70344844b6822a616b10b451fe.jpg,FALSE
2017-08-30_15-42-59-mp4-bee_id_9353-12795-1_png.rf.c2a81c61cd7e51c5a13bce0e73e3a88b.jpg,FALSE
2017-10-17_16-41-10-mp4-bee_id_6931-1860-1_png.rf.249e8677946294a05725bcf636703fd9.jpg,FALSE
2017-08-30_15-42-59-mp4-bee_id_9375-15510-1_png.rf.ea678118574d58d69f883006c6f7c308.jpg,FALSE
2017-08-30_15-42-59-mp4-bee_id_9115-1095-1_png.rf.7c9680b68d9335991b2a601e692475da.jpg,TRUE
2017-08-28_16-32-55_30_sec-mp4-bee_id_6658-315-1_png.rf.e5dd303b85c03d54d9a4d5668d5e7357.jpg,TRUE
2017-08-30_15-42-59-mp4-bee_id_9373-15270-1_png.rf.1632b3c8dffae1714f2c83ef6887e99e.jpg,FALSE
2017-08-30_15-42-59-mp4-bee_id_9361-14355-1_png.rf.24f2b0d82c1c9c0040eb50a13f1083b7.jpg,FALSE
2017-08-30_15-42-59-mp4-bee_id_9250-5595-1_png.rf.19fcb7dd5b809ca8050a172b42f95a20.jpg,FALSE
2017-09-01_3-01-01-mp4-bee_id_2403-57000-1_png.rf.cce42b57ee34216b6b0bf6b2eb0de623.jpg,FALSE
2017-08-30_15-42-59-mp4-bee_id_9176-3045-1_png.rf.a3fac078857584c158138db91d75c286.jpg,FALSE
2017-08-30_15-42-59-mp4-bee_id_9421-18900-1_png.rf.b19f3c25986fc131fb1b89c8fb6e63c2.jpg,FALSE
2017-08-30_15-42-59-mp4-bee_id_9110-780-1_png.rf.d9a64956eb4d592bb40f4325abe75498.jpg,TRUE
2017-08-30_15-42-59-mp4-bee_id_9437-22905-1_png.rf.79a68d9d05baf4ac69d22a2e0a2757a9.jpg,FALSE
2017-08-30_15-42-59-mp4-bee_id_9306-8205-1_png.rf.4d0de03c5e1fdaa93e6c5c6815c126c8.jpg,FALSE
2017-08-30_15-42-59-mp4-bee_id_9343-11700-1_png.rf.203387c57ee6ff8132804901d1ccc2fe.jpg,FALSE
2017-08-30_15-42-59-mp4-bee_id_9369-15030-1_png.rf.0ed6b343622efdbd1b7048ab776f4bf6.jpg,FALSE
2017-10-17_16-41-10-mp4-bee_id_7009-4350-1_png.rf.87b893f62ccd1262c7dad80c641bd1bc.jpg,FALSE
2017-09-25_16-03-38-mp4-bee_id_264-2835-1_png.rf.29f96adfde9197cdf2581ff9e7f80e54.jpg,FALSE
2017-08-30_15-42-59-mp4-bee_id_9274-6630-1_png.rf.57ce95b305b6c027c9e07a8d50f382c8.jpg,TRUE
2017-08-30_15-42-59-mp4-bee_id_9388-16320-1_png.rf.b04746a21ff1852e2c107af3cbd3bee2.jpg,FALSE
2017-08-30_15-42-59-mp4-bee_id_9381-15840-1_png.rf.0af59bd2cd3a8cb6e655934483ddf4ff.jpg,TRUE
